[2022-02-16 08:42:34,215] - INFO: --------开始测试用户管理--------
[2022-02-16 08:42:40,314] - INFO: start Test add user  - 密码不一致
[2022-02-16 08:42:56,490] - INFO: 新建用户测试成功！
[2022-02-16 08:42:56,527] - INFO: start Test add user  - 密码长度不满足安全策略
[2022-02-16 08:43:12,708] - INFO: 新建用户测试成功！
[2022-02-16 08:43:12,730] - INFO: start Test add user  - 用户名为空
[2022-02-16 08:43:28,743] - INFO: 新建用户测试成功！
[2022-02-16 08:43:28,777] - INFO: start Test add user  - 用户ID为空
[2022-02-16 08:43:45,092] - INFO: 新建用户测试成功！
[2022-02-16 08:43:45,134] - INFO: start Test add user  - 正确信息添加用户
[2022-02-16 08:44:01,108] - INFO: 新建用户测试失败！
[2022-02-16 08:44:01,145] - INFO: start Test add user  - 密码复杂度不满足安全策略
[2022-02-16 08:44:17,057] - INFO: 新建用户测试成功！
[2022-02-16 08:44:17,083] - INFO: start Test add user  - 用户已存在
